datetime,energy,temp,feelslike,dew,humidity,response
2023-01-01T00:00:00,14.8,26,26,24,88.76,2
2023-01-01T01:00:00,16.6,25.8,25.8,23.1,85,2
2023-01-01T02:00:00,17.8,25,25,23.2,89.59,2
2023-01-01T03:00:00,20.3,25.1,25.1,22.2,84.06,2
2023-01-01T04:00:00,15.1,24.8,24.8,22.8,88.65,2
2023-01-01T05:00:00,14.6,24.8,24.8,22.2,85.48,2
2023-01-01T06:00:00,17.4,24.1,24.1,22.2,89.22,2
2023-01-01T07:00:00,16.9,24,24,22.1,88.92,2
2023-01-01T08:00:00,28.9,24.7,24.7,22.2,85.79,2
2023-01-01T09:00:00,46.4,27,29.6,23,78.8,1
2023-01-01T10:00:00,67.1,28,31.3,23,74.26,1
2023-01-01T11:00:00,75.9,30,33.9,22.7,65.03,1
2023-01-01T12:00:00,71.2,30.1,34.1,22.9,65.46,1
2023-01-01T13:00:00,71.6,30.8,35.2,23,63.45,1
2023-01-01T14:00:00,76.7,31.3,34.7,21.8,57.03,1
2023-01-01T15:00:00,80,31.8,36.6,23,59.93,1
2023-01-01T16:00:00,78.4,31,36.6,24,66.29,1
2023-01-01T17:00:00,84.6,30.1,35.1,23.9,69.54,1
2023-01-01T18:00:00,74.2,29.3,34,24,73.19,1
2023-01-01T19:00:00,54.6,28.1,32.1,24.1,78.88,1
2023-01-01T20:00:00,42.8,27.3,30.7,24,82.24,1
2023-01-01T21:00:00,34,26.1,26.1,24.1,88.69,1
2023-01-01T22:00:00,22.5,26,26,24.1,89.01,2
2023-01-01T23:00:00,18,25,25,23.7,92.55,2
2023-01-02T00:00:00,16.9,25,25,23.8,92.88,2
2023-01-02T01:00:00,17.6,25,25,24,94.17,2
2023-01-02T02:00:00,17.3,25.1,25.1,23.2,89.27,2
2023-01-02T03:00:00,20.2,25,25,23,88.68,2
2023-01-02T04:00:00,18.4,24.7,24.7,23.1,90.49,2
2023-01-02T05:00:00,15.2,24.7,24.7,23,90.18,2
2023-01-02T06:00:00,13,24,24,23,94.12,2
2023-01-02T07:00:00,15.9,24,24,23,94.12,2
2023-01-02T08:00:00,37.5,24.2,24.2,22.9,92.54,2
2023-01-02T09:00:00,53.6,26,26,23.7,87.22,2
2023-01-02T10:00:00,79.6,28,31.9,24,78.9,1
2023-01-02T11:00:00,77.2,29.1,32.8,23,69.84,1
2023-01-02T12:00:00,86.1,31.1,35.6,23.1,62.49,1
2023-01-02T13:00:00,88.6,30.8,36,23.8,66.3,1
2023-01-02T14:00:00,97.6,30.8,37.1,24.8,70.36,1
2023-01-02T15:00:00,105.5,31,37.8,25,70.42,1
2023-01-02T16:00:00,85.5,30.8,36.3,24.1,67.47,1
2023-01-02T17:00:00,70.5,26.3,26.3,21.8,76.28,1
2023-01-02T18:00:00,65,26,26,23,83.58,2
2023-01-02T19:00:00,62.6,26,26,24,88.76,2
2023-01-02T20:00:00,46.9,25.1,25.1,23.7,92.24,2
2023-01-02T21:00:00,44.2,25,25,23,88.66,2
2023-01-02T22:00:00,25.5,25.1,25.1,23.1,88.66,2
2023-01-02T23:00:00,24.9,24.8,24.8,23.2,90.8,2
2023-01-03T00:00:00,18.6,24.3,24.3,23.2,93.5,2
2023-01-03T01:00:00,17.5,24.7,24.7,23.2,91.13,2
2023-01-03T02:00:00,19.9,24.8,24.8,23.2,90.83,2
2023-01-03T03:00:00,17.2,25,25,23,88.7,2
2023-01-03T04:00:00,20.2,24.3,24.3,23.1,92.88,2
2023-01-03T05:00:00,18.6,24.2,24.2,23,93.2,2
2023-01-03T06:00:00,17.3,24,24,23,94.12,2
2023-01-03T07:00:00,29.3,24,24,23,94.12,2
2023-01-03T08:00:00,91.9,24.2,24.2,22.9,92.54,2
2023-01-03T09:00:00,143,25.8,25.8,23.2,85.58,2
2023-01-03T10:00:00,157,27,29.6,23,78.78,1
2023-01-03T11:00:00,181.5,29,33.4,23.8,73.44,1
2023-01-03T12:00:00,188.3,30.8,35,22.8,62.45,1
2023-01-03T13:00:00,195.1,32.1,36.6,22.8,58.06,1
2023-01-03T14:00:00,196.5,32.1,36.6,22.8,58.04,1
2023-01-03T15:00:00,189.5,32,37.9,24,62.65,1
2023-01-03T16:00:00,185.8,31.8,37.5,23.9,63.06,1
2023-01-03T17:00:00,121.3,29,32.2,22.2,66.62,1
2023-01-03T18:00:00,88.9,25,25,24,94.04,2
2023-01-03T19:00:00,88.5,25.3,25.3,23.9,91.93,2
2023-01-03T20:00:00,50.3,25.1,25.1,23.2,89.27,2
2023-01-03T21:00:00,34.3,24.8,24.8,22.9,89.24,2
2023-01-03T22:00:00,37.5,24.8,24.8,22.9,89.23,2
2023-01-03T23:00:00,25.8,25,25,23.1,88.96,2
2023-01-04T00:00:00,17,25,25,23.8,92.88,2
2023-01-04T01:00:00,18.9,24,24,23,94.12,2
2023-01-04T02:00:00,17.8,24.1,24.1,23.2,94.75,2
2023-01-04T03:00:00,17.9,24,24,23,94.12,2
2023-01-04T04:00:00,25.7,23.8,23.8,22.7,93.8,2
2023-01-04T05:00:00,19.5,23.1,23.1,22.1,94.08,2
2023-01-04T06:00:00,19.9,23,23,22,94.08,2
2023-01-04T07:00:00,29.6,23,23,22,94.08,2
2023-01-04T08:00:00,90.4,23.2,23.2,22.9,98.26,2
2023-01-04T09:00:00,131.5,25,25,24,94.17,2
2023-01-04T10:00:00,161.3,27.3,30.7,24,82.28,1
2023-01-04T11:00:00,166.7,28.9,32.7,23.2,71.28,1
2023-01-04T12:00:00,169.6,29.1,34.4,24.7,77.43,1
2023-01-04T13:00:00,168.4,29.1,34.4,24.8,77.68,1
2023-01-04T14:00:00,162.1,29.8,35.6,24.8,74.52,1
2023-01-04T15:00:00,172.5,30,36.2,25,74.57,1
2023-01-04T16:00:00,132.8,25.1,25.1,24.1,94.14,2
2023-01-04T17:00:00,107.8,25.1,25.1,23.1,88.64,2
2023-01-04T18:00:00,79,24,24,23,94.1,2
2023-01-04T19:00:00,78.2,24,24,23.1,94.42,2
2023-01-04T20:00:00,60.4,24.1,24.1,23.1,94.13,2
2023-01-04T21:00:00,41,24.8,24.8,23.8,94.16,2
2023-01-04T22:00:00,25.6,24.8,24.8,23.9,94.82,2
2023-01-04T23:00:00,20.1,24.9,24.9,24.1,95.14,2
2023-01-05T00:00:00,15.3,24,24,22.1,88.93,2
2023-01-05T01:00:00,15.6,24,24,22,88.62,2
2023-01-05T02:00:00,15.9,23.8,23.8,22.8,94.13,2
2023-01-05T03:00:00,16.5,24,24,23,94.15,2
2023-01-05T04:00:00,16.7,22.8,22.8,22.1,95.73,2
2023-01-05T05:00:00,15.7,22.8,22.8,22.1,95.74,2
2023-01-05T06:00:00,15.1,23,23,22,94.13,2
2023-01-05T07:00:00,23.9,23,23,23,100,2
2023-01-05T08:00:00,50.9,23.8,23.8,22.9,94.78,2
2023-01-05T09:00:00,96.4,25,25,23,88.68,2
2023-01-05T10:00:00,144,26.8,29.6,23.8,83.65,1
2023-01-05T11:00:00,163.3,28.8,32.6,23.2,71.79,1
2023-01-05T12:00:00,173.3,30,34.2,23.1,66.39,1
2023-01-05T13:00:00,163.8,31.1,36.3,23.7,65.02,1
2023-01-05T14:00:00,167.3,30.8,36.3,24.1,67.43,1
2023-01-05T15:00:00,180.4,31.1,37.7,24.9,69.72,1
2023-01-05T16:00:00,166.2,30.3,36.7,25.1,73.62,1
2023-01-05T17:00:00,128.7,24.8,24.8,24.2,96.28,2
2023-01-05T18:00:00,83.9,24.7,24.7,23.8,94.42,2
2023-01-05T19:00:00,76.1,25.7,25.7,24.1,90.53,2
2023-01-05T20:00:00,55.4,24.8,24.8,23.1,90.15,2
2023-01-05T21:00:00,46.6,24,24,24,99.92,2
2023-01-05T22:00:00,28.5,25,25,24,94.17,2
2023-01-05T23:00:00,16.1,25,25,23.9,93.54,2
2023-01-06T00:00:00,16.8,25.1,25.1,23.9,93.23,2
2023-01-06T01:00:00,15.2,25.1,25.1,23.9,93.24,2
2023-01-06T02:00:00,11.2,25,25,24.1,94.51,2
2023-01-06T03:00:00,11.1,24.8,24.8,24,95.47,2
2023-01-06T04:00:00,14.4,24.8,24.8,23.9,94.82,2
2023-01-06T05:00:00,15.8,24.8,24.8,23.8,94.18,2
2023-01-06T06:00:00,13,24.7,24.7,23.8,94.5,2
2023-01-06T07:00:00,26.4,24,24,23,94.15,2
2023-01-06T08:00:00,71.1,24.2,24.2,23.9,98.3,2
2023-01-06T09:00:00,106.7,27,30.1,24,83.7,1
2023-01-06T10:00:00,131.7,28.8,32.5,23.1,71.29,1
2023-01-06T11:00:00,138,30.7,35.2,23.1,63.76,1
2023-01-06T12:00:00,136.7,31.1,36.6,24,66.15,1
2023-01-06T13:00:00,154.4,31,37.7,25,70.38,1
2023-01-06T14:00:00,148.3,27.8,32.1,24.8,83.61,1
2023-01-06T15:00:00,134.9,27,30.7,25,88.67,1
2023-01-06T16:00:00,135,25.8,25.8,23.1,85.13,2
