Index,energy,temp,feelslike,dew,humidity,response
1,14.8,26,26,24,88.76,2
2,16.6,25.8,25.8,23.1,85,2
3,17.8,25,25,23.2,89.59,2
4,20.3,25.1,25.1,22.2,84.06,2
5,15.1,24.8,24.8,22.8,88.65,2
6,14.6,24.8,24.8,22.2,85.48,2
7,17.4,24.1,24.1,22.2,89.22,2
8,16.9,24,24,22.1,88.92,2
9,28.9,24.7,24.7,22.2,85.79,2
10,46.4,27,29.6,23,78.8,1
11,67.1,28,31.3,23,74.26,1
12,75.9,30,33.9,22.7,65.03,1
13,71.2,30.1,34.1,22.9,65.46,1
14,71.6,30.8,35.2,23,63.45,1
15,76.7,31.3,34.7,21.8,57.03,1
16,80,31.8,36.6,23,59.93,1
17,78.4,31,36.6,24,66.29,1
18,84.6,30.1,35.1,23.9,69.54,1
19,74.2,29.3,34,24,73.19,1
20,54.6,28.1,32.1,24.1,78.88,1
21,42.8,27.3,30.7,24,82.24,1
22,34,26.1,26.1,24.1,88.69,1
23,22.5,26,26,24.1,89.01,2
24,18,25,25,23.7,92.55,2
25,16.9,25,25,23.8,92.88,2
26,17.6,25,25,24,94.17,2
27,17.3,25.1,25.1,23.2,89.27,2
28,20.2,25,25,23,88.68,2
29,18.4,24.7,24.7,23.1,90.49,2
30,15.2,24.7,24.7,23,90.18,2
31,13,24,24,23,94.12,2
32,15.9,24,24,23,94.12,2
33,37.5,24.2,24.2,22.9,92.54,2
34,53.6,26,26,23.7,87.22,2
35,79.6,28,31.9,24,78.9,1
36,77.2,29.1,32.8,23,69.84,1
37,86.1,31.1,35.6,23.1,62.49,1
38,88.6,30.8,36,23.8,66.3,1
39,97.6,30.8,37.1,24.8,70.36,1
40,105.5,31,37.8,25,70.42,1
41,85.5,30.8,36.3,24.1,67.47,1
42,70.5,26.3,26.3,21.8,76.28,1
43,65,26,26,23,83.58,2
44,62.6,26,26,24,88.76,2
45,46.9,25.1,25.1,23.7,92.24,2
46,44.2,25,25,23,88.66,2
47,25.5,25.1,25.1,23.1,88.66,2
48,24.9,24.8,24.8,23.2,90.8,2
49,18.6,24.3,24.3,23.2,93.5,2
50,17.5,24.7,24.7,23.2,91.13,2
51,19.9,24.8,24.8,23.2,90.83,2
52,17.2,25,25,23,88.7,2
53,20.2,24.3,24.3,23.1,92.88,2
54,18.6,24.2,24.2,23,93.2,2
55,17.3,24,24,23,94.12,2
56,29.3,24,24,23,94.12,2
57,91.9,24.2,24.2,22.9,92.54,2
58,143,25.8,25.8,23.2,85.58,2
59,157,27,29.6,23,78.78,1
60,181.5,29,33.4,23.8,73.44,1
61,188.3,30.8,35,22.8,62.45,1
62,195.1,32.1,36.6,22.8,58.06,1
63,196.5,32.1,36.6,22.8,58.04,1
64,189.5,32,37.9,24,62.65,1
65,185.8,31.8,37.5,23.9,63.06,1
66,121.3,29,32.2,22.2,66.62,1
67,88.9,25,25,24,94.04,2
68,88.5,25.3,25.3,23.9,91.93,2
69,50.3,25.1,25.1,23.2,89.27,2
70,34.3,24.8,24.8,22.9,89.24,2
71,37.5,24.8,24.8,22.9,89.23,2
72,25.8,25,25,23.1,88.96,2
73,17,25,25,23.8,92.88,2
74,18.9,24,24,23,94.12,2
75,17.8,24.1,24.1,23.2,94.75,2
76,17.9,24,24,23,94.12,2
77,25.7,23.8,23.8,22.7,93.8,2
78,19.5,23.1,23.1,22.1,94.08,2
79,19.9,23,23,22,94.08,2
80,29.6,23,23,22,94.08,2
81,90.4,23.2,23.2,22.9,98.26,2
82,131.5,25,25,24,94.17,2
83,161.3,27.3,30.7,24,82.28,1
84,166.7,28.9,32.7,23.2,71.28,1
85,169.6,29.1,34.4,24.7,77.43,1
86,168.4,29.1,34.4,24.8,77.68,1
87,162.1,29.8,35.6,24.8,74.52,1
88,172.5,30,36.2,25,74.57,1
89,132.8,25.1,25.1,24.1,94.14,2
90,107.8,25.1,25.1,23.1,88.64,2
91,79,24,24,23,94.1,2
92,78.2,24,24,23.1,94.42,2
93,60.4,24.1,24.1,23.1,94.13,2
94,41,24.8,24.8,23.8,94.16,2
95,25.6,24.8,24.8,23.9,94.82,2
96,20.1,24.9,24.9,24.1,95.14,2
