datetime,energy,temp,feelslike,dew,humidity,
2022-01-01T00:00:00,19.3,25,25,24,94.19,
2022-01-01T01:00:00,9.2,25,25,25,99.97,
2022-01-01T02:00:00,8,24.2,24.2,23.9,98.3,
2022-01-01T03:00:00,8.2,25,25,24,94.19,
2022-01-01T04:00:00,8.9,24,24,23,94.15,
2022-01-01T05:00:00,8.4,23.2,23.2,22.8,97.63,
2022-01-01T06:00:00,6,24,24,23,94.18,
2022-01-01T07:00:00,11.8,24,24,23,94.15,
2022-01-01T08:00:00,12,23.8,23.8,22.9,94.79,
2022-01-01T09:00:00,15.4,24,24,23,94.15,
2022-01-01T10:00:00,22.1,26,26,24,88.76,
2022-01-01T11:00:00,22,26.9,30.3,24.8,88.23,
2022-01-01T12:00:00,18.6,28,31.9,24,78.94,
2022-01-01T13:00:00,18,28,31.9,24,78.96,
2022-01-01T14:00:00,21.7,27.8,32.2,24.9,84.31,
2022-01-01T15:00:00,18.9,29,34.6,25,79,
2022-01-01T16:00:00,18.2,30,35.1,24,70.29,
2022-01-01T17:00:00,12.9,29.1,33.8,24.2,75.03,
2022-01-01T18:00:00,16.1,28,32.7,25,83.81,
2022-01-01T19:00:00,12.9,25,25,24,94.17,
2022-01-01T20:00:00,9.5,25.1,25.1,24.2,94.82,
2022-01-01T21:00:00,10.8,25,25,24,94.17,
2022-01-01T22:00:00,16.6,25,25,24,94.17,
2022-01-01T23:00:00,12.3,24.9,24.9,24,94.81,
2022-01-02T00:00:00,13.9,25,25,24,94.17,
2022-01-02T01:00:00,15.4,24,24,23,94.12,
2022-01-02T02:00:00,11,24.1,24.1,23.8,98.29,
2022-01-02T03:00:00,8,24,24,24,99.97,
2022-01-02T04:00:00,12,24,24,24,99.97,
2022-01-02T05:00:00,10.3,24.1,24.1,23.9,98.96,
2022-01-02T06:00:00,7.1,24,24,23,94.15,
2022-01-02T07:00:00,10.2,24,24,23,94.15,
2022-01-02T08:00:00,11.2,23.9,23.9,23.2,95.76,
2022-01-02T09:00:00,13.6,24,24,24,99.97,
2022-01-02T10:00:00,18.3,25,25,24,94.17,
2022-01-02T11:00:00,16,26.1,26.1,24.1,88.71,
2022-01-02T12:00:00,14.1,27,30.6,25,88.77,
2022-01-02T13:00:00,15.4,27,30.6,25,88.79,
2022-01-02T14:00:00,16.1,24.1,24.1,23.9,98.84,
2022-01-02T15:00:00,18.4,25,25,24,94.06,
2022-01-02T16:00:00,15,26,26,24,88.78,
2022-01-02T17:00:00,11.5,24.9,24.9,24.2,95.79,
2022-01-02T18:00:00,13.1,25,25,24,94.19,
2022-01-02T19:00:00,14.9,24,24,24,99.94,
2022-01-02T20:00:00,11.2,24.2,24.2,23.8,97.63,
2022-01-02T21:00:00,11.1,24,24,24,100,
2022-01-02T22:00:00,7.7,24,24,24,100,
2022-01-02T23:00:00,8.6,23.9,23.9,23.9,99.97,
2022-01-03T00:00:00,9.5,24,24,24,99.97,
2022-01-03T01:00:00,11.2,24,24,24,99.97,
2022-01-03T02:00:00,10.1,24,24,23.8,98.62,
2022-01-03T03:00:00,9.4,24,24,24,99.97,
2022-01-03T04:00:00,9.9,24,24,24,99.97,
2022-01-03T05:00:00,9.6,23.9,23.9,23.2,95.76,
2022-01-03T06:00:00,9.2,24,24,24,99.97,
2022-01-03T07:00:00,7.8,24,24,23,94.15,
2022-01-03T08:00:00,7.3,23.8,23.8,23.2,96.41,
2022-01-03T09:00:00,19.9,24,24,24,99.94,
2022-01-03T10:00:00,30.3,25,25,24,94.17,
2022-01-03T11:00:00,17.6,26.8,29.7,24.2,85.64,
2022-01-03T12:00:00,19.5,28,31.9,24,78.9,
2022-01-03T13:00:00,24,28,32.7,25,83.74,
2022-01-03T14:00:00,27.7,28.1,32.6,24.7,82.06,
2022-01-03T15:00:00,24.1,28,32,24,78.92,
2022-01-03T16:00:00,24.8,28,32.7,25,83.79,
2022-01-03T17:00:00,23.3,28.2,32.3,24.1,78.43,
2022-01-03T18:00:00,17.6,25,25,24,94.17,
2022-01-03T19:00:00,16.2,24,24,24,99.97,
2022-01-03T20:00:00,14.3,24.1,24.1,23.9,98.96,
2022-01-03T21:00:00,8.2,25,25,24,94.19,
2022-01-03T22:00:00,9.1,25,25,24,94.19,
