Epoch: 44499, RMSE: 0.6287893056869507, Test RMSE: 0.5789836645126343, G_loss: -60.17274856567383, D_loss: -24.327634811401367, grad_pen: 6.759291089526101
Epoch: 44599, RMSE: 0.6832396984100342, Test RMSE: 0.5911872386932373, G_loss: 3.4559807777404785, D_loss: -25.57722282409668, grad_pen: 7.957243400131654
Epoch: 44699, RMSE: 0.6684114933013916, Test RMSE: 0.724734365940094, G_loss: -20.282955169677734, D_loss: -12.79069709777832, grad_pen: 3.3768252838041213
Epoch: 44799, RMSE: 0.7266777753829956, Test RMSE: 0.6244803667068481, G_loss: -32.47096252441406, D_loss: -21.915815353393555, grad_pen: 6.674329981093211
Epoch: 44899, RMSE: 0.6234263777732849, Test RMSE: 0.6157196760177612, G_loss: -37.23192596435547, D_loss: -24.60603141784668, grad_pen: 7.719034750916349
Epoch: 44999, RMSE: 0.6370760202407837, Test RMSE: 0.5796911716461182, G_loss: -29.354877471923828, D_loss: -25.13178253173828, grad_pen: 7.478928151953008
Epoch: 45099, RMSE: 0.7344074845314026, Test RMSE: 0.5958313941955566, G_loss: -11.39232063293457, D_loss: -25.885650634765625, grad_pen: 8.563048425089764
Epoch: 45199, RMSE: 0.6464771628379822, Test RMSE: 0.6260992884635925, G_loss: -10.374452590942383, D_loss: -19.6997127532959, grad_pen: 6.483878729332781
Epoch: 45299, RMSE: 0.6014472842216492, Test RMSE: 0.7594927549362183, G_loss: -5.241824150085449, D_loss: -22.167526245117188, grad_pen: 8.715645476275661
Epoch: 45399, RMSE: 0.6228095293045044, Test RMSE: 0.5921730995178223, G_loss: -20.218509674072266, D_loss: -23.99349021911621, grad_pen: 7.262292916031441
Epoch: 45499, RMSE: 0.6814988851547241, Test RMSE: 0.6117371916770935, G_loss: -13.341923713684082, D_loss: -24.338598251342773, grad_pen: 6.433329014917736
Epoch: 45599, RMSE: 0.5673563480377197, Test RMSE: 0.8282232880592346, G_loss: -30.7122802734375, D_loss: -24.99327850341797, grad_pen: 7.3871696568567025
Epoch: 45699, RMSE: 0.648156464099884, Test RMSE: 0.60228431224823, G_loss: -30.311613082885742, D_loss: -22.349594116210938, grad_pen: 5.089359950431444
Epoch: 45799, RMSE: 0.7143242359161377, Test RMSE: 0.6564225554466248, G_loss: 1.4026329517364502, D_loss: -24.856094360351562, grad_pen: 8.729416557258716
Epoch: 45899, RMSE: 0.7281976938247681, Test RMSE: 0.8092200756072998, G_loss: -5.394961357116699, D_loss: -22.20635986328125, grad_pen: 7.862768917465813
Epoch: 45999, RMSE: 0.6378979682922363, Test RMSE: 0.5884819030761719, G_loss: -51.5248908996582, D_loss: -24.602699279785156, grad_pen: 7.845276816635622
Epoch: 46099, RMSE: 0.5791136026382446, Test RMSE: 0.5948357582092285, G_loss: -21.7053279876709, D_loss: -25.125057220458984, grad_pen: 7.702708214217466
Epoch: 46199, RMSE: 0.6284716129302979, Test RMSE: 0.6176029443740845, G_loss: -32.076988220214844, D_loss: -23.598209381103516, grad_pen: 5.8834791615808255
Epoch: 46299, RMSE: 0.6334835290908813, Test RMSE: 0.5895682573318481, G_loss: -29.84042739868164, D_loss: -25.413583755493164, grad_pen: 7.403985982083675
Epoch: 46399, RMSE: 0.5909269452095032, Test RMSE: 0.6127497553825378, G_loss: -36.55316925048828, D_loss: -23.9692325592041, grad_pen: 5.017499909735409
Epoch: 46499, RMSE: 0.5879623889923096, Test RMSE: 0.69652259349823, G_loss: -34.20825958251953, D_loss: -25.085460662841797, grad_pen: 7.805820280137459
Epoch: 46599, RMSE: 0.6636857390403748, Test RMSE: 0.6092357635498047, G_loss: -43.631351470947266, D_loss: -25.402015686035156, grad_pen: 7.523379803499328
Epoch: 46699, RMSE: 2.4515295028686523, Test RMSE: 2.099761724472046, G_loss: 63.042457580566406, D_loss: 143.48922729492188, grad_pen: 219.21480665299438
Epoch: 46799, RMSE: 2.168407917022705, Test RMSE: 1.5033597946166992, G_loss: 39.198219299316406, D_loss: -20.140045166015625, grad_pen: 51.0556719351377
Epoch: 46899, RMSE: 1.3390965461730957, Test RMSE: 1.1320658922195435, G_loss: 48.4808349609375, D_loss: -34.805152893066406, grad_pen: 20.13089262039353
Epoch: 46999, RMSE: 1.025744915008545, Test RMSE: 0.9980438947677612, G_loss: 55.14564514160156, D_loss: -33.414363861083984, grad_pen: 13.702659588635873
Epoch: 47099, RMSE: 0.8807016611099243, Test RMSE: 0.8211455345153809, G_loss: 24.808719635009766, D_loss: -31.06938934326172, grad_pen: 12.46726132188283
Epoch: 47199, RMSE: 0.724999725818634, Test RMSE: 0.8798302412033081, G_loss: -23.016403198242188, D_loss: -25.596826553344727, grad_pen: 9.032739799691884
Epoch: 47299, RMSE: 0.7173342108726501, Test RMSE: 0.8139330744743347, G_loss: 4.763906478881836, D_loss: -23.76219940185547, grad_pen: 7.879910621498074
Epoch: 47399, RMSE: 0.6662619709968567, Test RMSE: 0.6579626202583313, G_loss: 13.293451309204102, D_loss: -23.4699649810791, grad_pen: 6.746839251266304
Epoch: 47499, RMSE: 0.666434645652771, Test RMSE: 0.7365931868553162, G_loss: 7.726384162902832, D_loss: -22.911113739013672, grad_pen: 6.903068227090683
Epoch: 47599, RMSE: 0.6097919940948486, Test RMSE: 0.6909762620925903, G_loss: -40.267459869384766, D_loss: -23.40177345275879, grad_pen: 5.784852748447113
Epoch: 47699, RMSE: 0.5885359644889832, Test RMSE: 0.6383568048477173, G_loss: 4.229318618774414, D_loss: -22.937904357910156, grad_pen: 7.248683852931745
Epoch: 47799, RMSE: 0.6199149489402771, Test RMSE: 0.6453434824943542, G_loss: -7.5616841316223145, D_loss: -23.95330047607422, grad_pen: 7.062869289019017
Epoch: 47899, RMSE: 0.5590224862098694, Test RMSE: 0.6218812465667725, G_loss: -4.963138580322266, D_loss: -23.877368927001953, grad_pen: 7.726638242445786
Epoch: 47999, RMSE: 0.5990259051322937, Test RMSE: 0.6276280879974365, G_loss: -16.897302627563477, D_loss: -24.244304656982422, grad_pen: 7.434780503901361
Epoch: 48099, RMSE: 0.6126180291175842, Test RMSE: 0.6846712827682495, G_loss: -10.40070629119873, D_loss: -23.991374969482422, grad_pen: 7.7090461262412235
Epoch: 48199, RMSE: 0.5968396663665771, Test RMSE: 0.6443660259246826, G_loss: -8.043914794921875, D_loss: -24.53586769104004, grad_pen: 7.308183235408402
Epoch: 48299, RMSE: 0.6198253035545349, Test RMSE: 0.6168957352638245, G_loss: -14.295587539672852, D_loss: -23.89971351623535, grad_pen: 7.753638739184235
Epoch: 48399, RMSE: 0.581258237361908, Test RMSE: 0.592781126499176, G_loss: -11.884443283081055, D_loss: -24.67499351501465, grad_pen: 7.8122154891213675
Epoch: 48499, RMSE: 0.6170416474342346, Test RMSE: 0.6124475002288818, G_loss: -14.822025299072266, D_loss: -24.201496124267578, grad_pen: 7.7246016408657745
Epoch: 48599, RMSE: 0.6876561045646667, Test RMSE: 0.6028950214385986, G_loss: -17.14382553100586, D_loss: -24.455322265625, grad_pen: 7.304192117103494
Epoch: 48699, RMSE: 0.6005017161369324, Test RMSE: 0.575256884098053, G_loss: -20.961923599243164, D_loss: -24.50238609313965, grad_pen: 6.945580775107496
Epoch: 48799, RMSE: 0.6120243072509766, Test RMSE: 0.5960575342178345, G_loss: -20.117475509643555, D_loss: -24.90157127380371, grad_pen: 6.959939448797051
