Epoch: 59999, RMSE: 0.3919524550437927, Test RMSE: 0.3226432204246521, G_loss: -0.7787078022956848, D_loss: -8.373316764831543, grad_pen: 1.2993478001675307
Epoch: 60099, RMSE: 0.4712129235267639, Test RMSE: 0.3190552592277527, G_loss: -0.19864770770072937, D_loss: -8.310403823852539, grad_pen: 1.2327552098228503
Epoch: 60199, RMSE: 0.3775692880153656, Test RMSE: 0.3048308491706848, G_loss: -1.304046630859375, D_loss: -8.273225784301758, grad_pen: 1.3639052271088072
Epoch: 60299, RMSE: 0.4746113419532776, Test RMSE: 0.3254765570163727, G_loss: -0.8131183981895447, D_loss: -8.683320045471191, grad_pen: 1.340377569955698
Epoch: 60399, RMSE: 0.4276219308376312, Test RMSE: 0.33233100175857544, G_loss: 0.10568290203809738, D_loss: -8.30931282043457, grad_pen: 1.4612866053218785
Epoch: 60499, RMSE: 0.3952081501483917, Test RMSE: 0.3172973096370697, G_loss: -2.0419206619262695, D_loss: -8.111225128173828, grad_pen: 1.1983860809817575
Epoch: 60599, RMSE: 0.4224579632282257, Test RMSE: 0.3305187523365021, G_loss: -1.560809850692749, D_loss: -8.362485885620117, grad_pen: 1.2552459215156402
Epoch: 60699, RMSE: 0.4789612889289856, Test RMSE: 0.30594438314437866, G_loss: 0.6625637412071228, D_loss: -8.329061508178711, grad_pen: 1.3173001924038963
Epoch: 60799, RMSE: 0.48427820205688477, Test RMSE: 0.3340475559234619, G_loss: -0.1331796497106552, D_loss: -8.423221588134766, grad_pen: 1.3616295230690265
Epoch: 60899, RMSE: 0.3489612340927124, Test RMSE: 0.34528136253356934, G_loss: -0.5429776310920715, D_loss: -8.412053108215332, grad_pen: 1.257811301744185
Epoch: 60999, RMSE: 0.4588127136230469, Test RMSE: 0.3638322949409485, G_loss: -0.36859580874443054, D_loss: -8.409278869628906, grad_pen: 1.2581663405039303
Epoch: 61099, RMSE: 0.5474600195884705, Test RMSE: 0.3272923529148102, G_loss: -1.5380576848983765, D_loss: -8.46472454071045, grad_pen: 1.4000888752083065
Epoch: 61199, RMSE: 0.3993188440799713, Test RMSE: 0.3152528405189514, G_loss: -1.2131041288375854, D_loss: -8.464103698730469, grad_pen: 1.3625611255963863
Epoch: 61299, RMSE: 0.48031607270240784, Test RMSE: 0.3210996687412262, G_loss: -0.5066341161727905, D_loss: -8.552179336547852, grad_pen: 1.3181630981864036
Epoch: 61399, RMSE: 0.3880043029785156, Test RMSE: 0.36631348729133606, G_loss: -2.441136598587036, D_loss: -8.664275169372559, grad_pen: 1.216113010261885
Epoch: 61499, RMSE: 0.3583866357803345, Test RMSE: 0.31533071398735046, G_loss: -1.8187788724899292, D_loss: -8.631895065307617, grad_pen: 1.5215592347769482
Epoch: 61599, RMSE: 0.4152858257293701, Test RMSE: 0.3186815679073334, G_loss: -2.6085498332977295, D_loss: -8.510185241699219, grad_pen: 1.4273779655516383
Epoch: 61699, RMSE: 0.431230366230011, Test RMSE: 0.33058980107307434, G_loss: -3.0659942626953125, D_loss: -8.683307647705078, grad_pen: 1.2725085509925291
Epoch: 61799, RMSE: 0.5129037499427795, Test RMSE: 0.3147585093975067, G_loss: -2.4093170166015625, D_loss: -8.568207740783691, grad_pen: 1.299814539913642
Epoch: 61899, RMSE: 0.417243629693985, Test RMSE: 0.3450252115726471, G_loss: -3.444084882736206, D_loss: -8.516881942749023, grad_pen: 1.3908557135749946
Epoch: 61999, RMSE: 0.3956434428691864, Test RMSE: 0.32935407757759094, G_loss: -2.709048271179199, D_loss: -8.429939270019531, grad_pen: 1.4105377572992301
Epoch: 62099, RMSE: 0.39163297414779663, Test RMSE: 0.33502063155174255, G_loss: -3.7024569511413574, D_loss: -8.55175495147705, grad_pen: 1.4785846266069578
Epoch: 62199, RMSE: 0.5360773801803589, Test RMSE: 0.3184581696987152, G_loss: -3.1603951454162598, D_loss: -8.517288208007812, grad_pen: 1.2267836036116326
Epoch: 62299, RMSE: 0.4324014186859131, Test RMSE: 0.3237200677394867, G_loss: -4.036077976226807, D_loss: -8.519902229309082, grad_pen: 1.24514258721265
Epoch: 62399, RMSE: 0.4224701225757599, Test RMSE: 0.338360458612442, G_loss: -4.050842761993408, D_loss: -8.506007194519043, grad_pen: 1.3367736901898133
Epoch: 62499, RMSE: 0.4335126280784607, Test RMSE: 0.32887357473373413, G_loss: -4.393200874328613, D_loss: -8.691972732543945, grad_pen: 1.2798304899303592
Epoch: 62599, RMSE: 0.381265252828598, Test RMSE: 0.3248339593410492, G_loss: -3.8752384185791016, D_loss: -8.50533390045166, grad_pen: 1.5755262693481824
Epoch: 62699, RMSE: 0.4161410927772522, Test RMSE: 0.3257952630519867, G_loss: -3.7962400913238525, D_loss: -8.540078163146973, grad_pen: 1.3369859895425749
Epoch: 62799, RMSE: 0.5155872702598572, Test RMSE: 0.34033098816871643, G_loss: -2.7380456924438477, D_loss: -8.477654457092285, grad_pen: 1.4198760380562496
Epoch: 62899, RMSE: 0.3443407416343689, Test RMSE: 0.3389773368835449, G_loss: -4.097596645355225, D_loss: -8.554771423339844, grad_pen: 1.3194098964342893
Epoch: 62999, RMSE: 0.49333086609840393, Test RMSE: 0.3452073633670807, G_loss: -4.006533622741699, D_loss: -8.5116605758667, grad_pen: 1.2808409749948693
Epoch: 63099, RMSE: 0.4018394947052002, Test RMSE: 0.3381420373916626, G_loss: -3.990053653717041, D_loss: -8.679837226867676, grad_pen: 1.20147389542307
Epoch: 63199, RMSE: 0.37499484419822693, Test RMSE: 0.3447526693344116, G_loss: -5.361385822296143, D_loss: -8.663107872009277, grad_pen: 1.0998180266694004
Epoch: 63299, RMSE: 0.3659983277320862, Test RMSE: 0.3394091725349426, G_loss: -4.923571586608887, D_loss: -8.638138771057129, grad_pen: 1.3269520705004612
Epoch: 63399, RMSE: 0.3854278028011322, Test RMSE: 0.3348830044269562, G_loss: -5.141129016876221, D_loss: -8.352322578430176, grad_pen: 1.6248675071743321
Epoch: 63499, RMSE: 0.4802045226097107, Test RMSE: 0.3330141603946686, G_loss: -4.18723201751709, D_loss: -8.615074157714844, grad_pen: 1.1994093756498
Epoch: 63599, RMSE: 0.34640243649482727, Test RMSE: 0.3515160381793976, G_loss: -5.226447105407715, D_loss: -8.306296348571777, grad_pen: 1.1585017672718125
Epoch: 63699, RMSE: 0.45329728722572327, Test RMSE: 0.32826268672943115, G_loss: -4.421018600463867, D_loss: -8.26025390625, grad_pen: 1.481957887819805
Epoch: 63799, RMSE: 0.38963833451271057, Test RMSE: 0.31747180223464966, G_loss: -5.930432319641113, D_loss: -8.292065620422363, grad_pen: 1.260866730633897
Epoch: 63899, RMSE: 0.44139376282691956, Test RMSE: 0.3198266327381134, G_loss: -5.100037097930908, D_loss: -8.338088035583496, grad_pen: 1.2098990375416356
Epoch: 63999, RMSE: 0.4004906117916107, Test RMSE: 0.3273002803325653, G_loss: -5.039915084838867, D_loss: -8.59931468963623, grad_pen: 1.637314444828846
Epoch: 64099, RMSE: 0.4541991353034973, Test RMSE: 0.33655717968940735, G_loss: -5.8658952713012695, D_loss: -8.529878616333008, grad_pen: 1.34833403062881
Epoch: 64199, RMSE: 0.37347760796546936, Test RMSE: 0.3208862245082855, G_loss: -6.12750244140625, D_loss: -8.49107551574707, grad_pen: 1.4087779793771742
Epoch: 64299, RMSE: 0.3663620054721832, Test RMSE: 0.31047922372817993, G_loss: -5.996273517608643, D_loss: -8.580524444580078, grad_pen: 1.361189120058096
Epoch: 64399, RMSE: 0.5034485459327698, Test RMSE: 0.36133912205696106, G_loss: -6.622108459472656, D_loss: -8.41049575805664, grad_pen: 1.5809514396957867
Epoch: 64499, RMSE: 0.4173358380794525, Test RMSE: 0.32108739018440247, G_loss: -6.527249336242676, D_loss: -8.595504760742188, grad_pen: 1.2892635924997442
Epoch: 64599, RMSE: 0.35176682472229004, Test RMSE: 0.3341338038444519, G_loss: -6.614648818969727, D_loss: -8.525018692016602, grad_pen: 1.220359033273348
Epoch: 64699, RMSE: 0.41537797451019287, Test RMSE: 0.3169056177139282, G_loss: -6.925334453582764, D_loss: -8.531166076660156, grad_pen: 1.2523569545758382
Epoch: 64799, RMSE: 0.4602990448474884, Test RMSE: 0.34633371233940125, G_loss: -6.065814018249512, D_loss: -8.650833129882812, grad_pen: 1.4411830416355196
Epoch: 64899, RMSE: 0.38214197754859924, Test RMSE: 0.3174046576023102, G_loss: -6.520630836486816, D_loss: -8.554391860961914, grad_pen: 1.3504690296046784
Epoch: 64999, RMSE: 0.4457117021083832, Test RMSE: 0.3333132266998291, G_loss: -6.5209856033325195, D_loss: -8.421674728393555, grad_pen: 1.222771847686538
Epoch: 65099, RMSE: 0.4565533995628357, Test RMSE: 0.33945146203041077, G_loss: -6.345518589019775, D_loss: -8.519935607910156, grad_pen: 1.2644905425709574
Epoch: 65199, RMSE: 0.42366209626197815, Test RMSE: 0.35943326354026794, G_loss: -5.573383331298828, D_loss: -8.54287052154541, grad_pen: 1.326223253691091
Epoch: 65299, RMSE: 0.41858720779418945, Test RMSE: 0.3512253165245056, G_loss: -6.360527992248535, D_loss: -8.62386417388916, grad_pen: 1.164617607413694
